,player,season,posts
0,Nikola Jokic,2021,"[{""title"": ""[Wind] Nikola Jokic on his relationship with Bulls center Nikola Vucevic: \u201cWe play Counter-Strike a lot together.\u201d"", ""score"": 14898, ""ncomments"": 2000}, {""title"": ""NBA GMs vote Nikola Jokic as the best center in the league (64%) ahead of Joel Embiid (23%) and Giannis Antetokounmpo (7%)"", ""score"": 844, ""ncomments"": 632}, {""title"": ""Nikola Jokic vs the New Orleans Pelicans tonight - 39/11/11 on 17/23 shooting"", ""score"": 696, ""ncomments"": 244}, {""title"": ""Nikola Jokic just scored all of the Nuggets' points in OT, besides intentional foul FTs"", ""score"": 204, ""ncomments"": 63}, {""title"": ""[ESPN] Nikola Jokic had 39 points, 11 rebounds and 11 assists on 17-23 FG He's the 4th player in NBA history with 3 career 30-point triple-doubles on 70% FG The others? Wilt Chamberlain (10), Magic Johnson (4), Oscar Robertson (3)"", ""score"": 86, ""ncomments"": 36}, {""title"": ""Nikola Jokic tonight: 39 PTS 11 REB 11 AST 17-23 FG It\u2019s his 9th 30-point triple-double of his career, the most in NBA history by any center not named Wilt Chamberlain."", ""score"": 85, ""ncomments"": 7}, {""title"": ""Nikola Jokic mic'd up during the Clippers/Nuggets pre-season game"", ""score"": 47, ""ncomments"": 47}, {""title"": ""Nikola Jokic at the half: 27/6/5 on 10-12 shooting and 3-4 from 3."", ""score"": 35, ""ncomments"": 35}, {""title"": ""[Wind] Nikola Jokic on his relationship with Bulls center Nikola Vucevic: \""We play Counter-Strike a lot together.\"""", ""score"": 21, ""ncomments"": 6}, {""title"": ""Nikola Jokic in a loss to the T-Wolves: 38 points, 19 rebounds, 8 assists, and 1 steal on 14/21 shooting, 0/2 from 3"", ""score"": 15, ""ncomments"": 5}, {""title"": ""NBA top 15 big men rankings for 2021-22: Giannis Antetokounmpo seizes No. 1 ahead of Nikola Jokic, Joel Embiid"", ""score"": 12, ""ncomments"": 104}, {""title"": ""Nikola Jokic and the Denver Nuggets were apart of 4 straight 7 game series spanning across two playoff runs."", ""score"": 11, ""ncomments"": 18}, {""title"": ""[StatMuse] Nikola Jokic tonight: 39 PTS 11 REB 11 AST 17-23 FG It\u2019s his 9th 30-point triple-double of his career, the most in NBA history by any center not named Wilt Chamberlain."", ""score"": 10, ""ncomments"": 4}, {""title"": ""Since having his worst shooting night of the season, Nikola Jokic has responded to average 34.2 PPG on 66.3% shooting from the field in his last 9 games"", ""score"": 7, ""ncomments"": 2}, {""title"": ""[ESPN] Nikola Jokic is the only player in NBA history to record 5,000 rebounds &amp; 3,000 assist within his first 500 career games"", ""score"": 6, ""ncomments"": 0}, {""title"": ""Nikola Jokic tonight: 38 points on 14/21 shooting, 19 rebounds and 8 assists vs Minnesota"", ""score"": 4, ""ncomments"": 1}, {""title"": ""At the half, Nikola Jokic and Will Barton have accounted for 42/52 of the Nuggets points on a combined 16/20 shooting."", ""score"": 4, ""ncomments"": 0}, {""title"": ""[Highlight] Nikola Jokic hits a tough contested three for his 44th point"", ""score"": 3, ""ncomments"": 5}, {""title"": ""[Highlight] Herb Jones throws it down on Nikola Jokic!"", ""score"": 3, ""ncomments"": 4}, {""title"": ""[Winge] Nikola Jokic and Will Barton have combined for 42 of the Denver Nuggets 52 points at the half."", ""score"": 2, ""ncomments"": 10}, {""title"": ""Nikola Jokic wraps up a win against the Spurs with a monster 35 points, 17 rebounds and 8 assists on 64% TS"", ""score"": 2, ""ncomments"": 0}, {""title"": ""Joel Embiid just shot 27 free throws in a single game. Nikola Jokic has shot 27 free throws in his last 4 games."", ""score"": 2, ""ncomments"": 0}, {""title"": ""[Wind] Tim Connelly drafted Nikola Jokic (41st) Jamal Murray (7th) and Michael Porter Jr. (14th), watched all three develop into the Nuggets' core, and signed all three to max rookie extensions as Denver transformed into a contender."", ""score"": 2, ""ncomments"": 130}, {""title"": ""Nikola Jokic shooting splits by distance from the basket this season. 0-3 ft - 80%, 3-10 ft - 56%, 10 - 16 ft - 63%, 16ft - 3 point range - 80%, 3 point and beyond - 40%. He's averaging FG% of 61, EFG% of 67%, and TS% of 68"", ""score"": 2, ""ncomments"": 156}, {""title"": ""Nikola Jokic: 35 PTS 17 REB 8 AST in a win vs the Warriors"", ""score"": 2, ""ncomments"": 336}]"
1,Joel Embiid,2021,"[{""title"": ""Joel Embiid: \""I'm not even close to 100%. I'm still feeling it, I get tired easily, feel pretty weak. But every single day slowly getting better. So I just got to keep pushing myself. My teammates, they push me. They want me to be making all the plays offensively and defensively, so I\u2019m gonna push."", ""score"": 1226, ""ncomments"": 187}, {""title"": ""NBA GMs vote Nikola Jokic as the best center in the league (64%) ahead of Joel Embiid (23%) and Giannis Antetokounmpo (7%)"", ""score"": 844, ""ncomments"": 632}, {""title"": ""[Highlight] Joel Embiid blows by PJ Washington for the huge slam!"", ""score"": 475, ""ncomments"": 157}, {""title"": ""[Schultz] In addition to Caris LeVert, sources say the #Sixers have also inquired about Malcolm Brodgon - citing his high-level two-way game and capacity to play both guard positions as a plus alongside Joel Embiid. One more note: The #Pacers control all of their draft picks as well."", ""score"": 118, ""ncomments"": 375}, {""title"": ""Joel Embiid drops 32 PTS &amp; 8 REB in 76ers back-to-back W against Hornets \ud83d\udcaa"", ""score"": 43, ""ncomments"": 47}, {""title"": ""Andre Drummond on Joel Embiid: \u201cHe hit me with the okey-doke today. Usually he'll take a couple plays off at shootaround just to rest so I didn't know what was going on till I got here. So I seen the alert on Twitter and said, 'Oh shit, I'm starting today.'\u201d"", ""score"": 40, ""ncomments"": 18}, {""title"": ""NBA top 15 big men rankings for 2021-22: Giannis Antetokounmpo seizes No. 1 ahead of Nikola Jokic, Joel Embiid"", ""score"": 12, ""ncomments"": 104}, {""title"": ""Could Joel Embiid improve even more"", ""score"": 4, ""ncomments"": 93}, {""title"": ""[Bodner] Joel Embiid, on their improved defensive execution tonight: \""Charlotte, they move the ball extremely well and they have shooters all over the place, and they made a bunch of jump shots. Boston is more of an iso heavy team, so it becomes easier to load up and try to stop them.\"""", ""score"": 4, ""ncomments"": 0}, {""title"": ""Career night for Joel Embiid."", ""score"": 3, ""ncomments"": 0}, {""title"": ""Joel Embiid to Tyrese Maxey post-game: \""You see what happens when you freakin' shoot 3's? Come on man, shoot the 3!...you were great... that's how you respond to criticism!\"""", ""score"": 3, ""ncomments"": 1}, {""title"": ""Joel Embiid tonight: 40 minutes, 43 points, 14 rebounds, 7 assist, 3 TO, 13-16 FG, 1-2 3PTFG, 12-14 FT."", ""score"": 3, ""ncomments"": 1}, {""title"": ""Joel Embiid tells 76ers fans to support Ben Simmons before home opener: 'He's still our brother' | Embiid expressed support for Simmons prior to Friday's home opener, telling fans to stand by Simmons. Embiid got on the microphone before the game and said of Simmons, \""He's still our brother.\"""", ""score"": 2, ""ncomments"": 1}, {""title"": ""[Highlight] Joel Embiid weaves his way into the paint for the emphatic dunk with the shot clock winding down"", ""score"": 2, ""ncomments"": 0}, {""title"": ""Joel Embiid just shot 27 free throws in a single game. Nikola Jokic has shot 27 free throws in his last 4 games."", ""score"": 2, ""ncomments"": 0}, {""title"": ""For the first time in his short career, Tyrese Maxey has scored 20+ points three games in a row with Joel Embiid in the lineup."", ""score"": 2, ""ncomments"": 0}, {""title"": ""James Harden and Joel Embiid have shot a combined 45/53 free throws over their last two games and 22/81 from the field"", ""score"": 2, ""ncomments"": 0}, {""title"": ""Joel Embiid with a 44/17/3 statline leads the Philadelphia 76ers to a 112-108 win versus the Cavaliers."", ""score"": 2, ""ncomments"": 0}, {""title"": ""Joel Embiid vs the Celtics: 41 points, 10 rebounds, 5 assists, 4 blocks, 2 steals"", ""score"": 2, ""ncomments"": 0}, {""title"": ""Since Dec 26. Joel Embiid has averaged 32.9/10.1/4.7 shooting 56.2/42.1/82.9 with 1.1 steals and 1.4 blocks. The 76ers are 7-0 in this stretch!"", ""score"": 2, ""ncomments"": 0}, {""title"": ""[Highlight] Joel Embiid Bullies Tristan Thompson For The Big Slam"", ""score"": 2, ""ncomments"": 1}, {""title"": ""Another MVP-caliber performance for Joel Embiid in win over Cavs: 34 minutes played, 35 points (13-19 FG; 8-10 FT), 17 rebounds, 5 assists."", ""score"": 2, ""ncomments"": 0}, {""title"": ""[Highlight] Joel Embiid with the casual windmill dunk"", ""score"": 2, ""ncomments"": 1}, {""title"": ""[Joel \""Troel\"" Embiid] Time To Run - Most likely in reference to Dame calling out PG for running from the grind."", ""score"": 2, ""ncomments"": 0}, {""title"": ""Joel Embiid tonight vs .Cavs : 44 pts / 17 rebs / 5 blks"", ""score"": 2, ""ncomments"": 0}]"
2,Giannis Antetokounmpo,2021,"[{""title"": ""Giannis Antetokounmpo: \u201cY\u043eu guys p\u043est my dunks, my threes. When I make a three, make it l\u043e\u043ek g\u043e\u043ed. Post it fr\u043em diff\u0435rent angl\u0435s\u2026 s\u043e it l\u043e\u043eks like I mad\u0435 four of th\u0435m. S\u043e pe\u043eple can think I can sh\u043e\u043et n\u043ew.\u201d"", ""score"": 3626, ""ncomments"": 491}, {""title"": ""NBA GMs vote Nikola Jokic as the best center in the league (64%) ahead of Joel Embiid (23%) and Giannis Antetokounmpo (7%)"", ""score"": 844, ""ncomments"": 632}, {""title"": ""Giannis Antetokounmpo: \u201cHello. I know you gu\u0443s have a lot of questions. I'm not going to address them\u2026 I practiced toda\u0443. I feel good... thank you gu\u0443s, have a good da\u0443!\u201d"", ""score"": 181, ""ncomments"": 188}, {""title"": ""NBA top 15 big men rankings for 2021-22: Giannis Antetokounmpo seizes No. 1 ahead of Nikola Jokic, Joel Embiid"", ""score"": 12, ""ncomments"": 104}, {""title"": ""NBA Top 100 player rankings for 2021-22: Kevin Durant beats out LeBron James, Giannis Antetokounmpo for No. 1"", ""score"": 4, ""ncomments"": 28}, {""title"": ""Giannis Antetokounmpo after last night's win against D\u0435troit: \""Aw man. I f\u0435\u0435l so good\u2026 We w\u043en! Oh my G\u043ed. Oh my g\u043e\u043edness. I th\u043eught we w\u0435re tank\u0456ng! I thought we wer\u0435 tank\u0456ng for the numb\u0435r on\u0435 pick! Ph\u0435w. Thank y\u043eu!\"""", ""score"": 2, ""ncomments"": 407}, {""title"": ""Giannis Antetokounmpo now sits at 40 points away from becoming the Bucks all-time scoring leader"", ""score"": 2, ""ncomments"": 0}, {""title"": ""Giannis Antetokounmpo gives his opinion about being the scoring champion and MVP: \""It holds you back. You don't get to your full potential when you worry about wrong things. I couldn't care less about winning the MVP.\"""", ""score"": 2, ""ncomments"": 0}, {""title"": ""Giannis Antetokounmpo tonight: 32/14/7 on 12/25 from the field, 7/9 from the line"", ""score"": 2, ""ncomments"": 309}, {""title"": ""[Highlight] (Full Play) Giannis Antetokounmpo puts the Bucks up 2 with two seconds remaining with his 40th points of the game. The Bucks have won 8 straight."", ""score"": 2, ""ncomments"": 79}, {""title"": ""Giannis Antetokounmpo with a shield: \""Avengers! Assemble!\"""", ""score"": 2, ""ncomments"": 62}, {""title"": ""Giannis Antetokounmpo tonight against the Hornets : 43 pts / 11 rebs / 3 asts / 2 blks / 1 stl"", ""score"": 2, ""ncomments"": 0}, {""title"": ""Why Giannis Antetokounmpo is the goat: An analysis"", ""score"": 1, ""ncomments"": 0}, {""title"": ""Giannis Antetokounmpo goes ballistic on his team In heated huddle. \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02* 2021 nba playoffs *"", ""score"": 1, ""ncomments"": 0}, {""title"": ""Steph Curry Vs Giannis Antetokounmpo"", ""score"": 1, ""ncomments"": 2}, {""title"": ""Giannis Antetokounmpo showing off his improved jumper"", ""score"": 1, ""ncomments"": 83}, {""title"": ""Giannis Antetokounmpo on Cosmote TV: \""Harden is a superb player. He didn't mention me back then, this wasn't for me. On the court i will play hard against everybody. He is a HoF\""."", ""score"": 1, ""ncomments"": 0}, {""title"": ""[Kathimerini] Giannis Antetokounmpo: I would rather sell cds at Sepolia if it meant my father would still be alive."", ""score"": 1, ""ncomments"": 56}, {""title"": ""Luka Doncic Edges Giannis Antetokounmpo In GM Survey For Player To Build Around"", ""score"": 1, ""ncomments"": 0}, {""title"": ""Giannis Antetokounmpo With a crazy block!"", ""score"": 1, ""ncomments"": 2}, {""title"": ""Giannis Antetokounmpo with a crazy block"", ""score"": 1, ""ncomments"": 2}, {""title"": ""Giannis Antetokounmpo Full Game Highlights | October 15 | Mavericks vs Bucks"", ""score"": 1, ""ncomments"": 19}, {""title"": ""Giannis Antetokounmpo tonight: 15 points, 10 rebounds, 2 assists, 2 turnovers, 4/11 shooting"", ""score"": 1, ""ncomments"": 0}, {""title"": ""Giannis Antetokounmpo Drops 32 Points, 14 Rebounds &amp; 7 Assists Against Brooklyn | 10.19.21"", ""score"": 1, ""ncomments"": 9}, {""title"": ""Moe Wagner Breaks Down Getting Headbutted By Giannis Antetokounmpo"", ""score"": 1, ""ncomments"": 33}]"
3,Devin Booker,2021,"[{""title"": ""Chris Paul and Devin Booker are now shooting a combined 22-32 (69%) on \""clutch\"" shots this season"", ""score"": 209, ""ncomments"": 116}, {""title"": ""Devin Booker (somehow) pass it to Mikal Bridges for the three."", ""score"": 5, ""ncomments"": 4}, {""title"": ""[Highlight] Devin Booker hits a VERY high arcing shot during the dead-ball timeout as Malik Monk thinks twice about goaltending a la Kevin Garnett"", ""score"": 3, ""ncomments"": 0}, {""title"": ""Devin \""Despite the Win\"" Booker tonight 11 points on 5/22 shooting, 0/7 from 3, -6 despite every other Sun having a positive +/-"", ""score"": 2, ""ncomments"": 0}, {""title"": ""Devin booker is a superstar, and nobody wants to acknowledge it\u2026"", ""score"": 2, ""ncomments"": 18}, {""title"": ""Devin Booker finishes the First Half with 26 of the Suns 50 points on 10-15 shooting."", ""score"": 2, ""ncomments"": 0}, {""title"": ""[Highlight] Malik Monk makes a gorgeous cross-court pass to Devin Booker on the bench as the Lakers take their final timeout facing elimination"", ""score"": 2, ""ncomments"": 1}, {""title"": ""[Charania] Phoenix Suns star Devin Booker will miss time to start training camp this upcoming week due to health and safety protocols."", ""score"": 2, ""ncomments"": 1}, {""title"": ""Devin Booker vs. the Sixers tonight : 35 points on 11-23 FG / 3-8 3PT / 10-11 FT"", ""score"": 2, ""ncomments"": 24}, {""title"": ""[Highlight] Devin Booker gets the defender on his back, hits the toughly contested fadeaway jumper from the free throw line, and sprawls out in his signature pose."", ""score"": 2, ""ncomments"": 0}, {""title"": ""Who is the better player right now: Devin Booker or Donovan Mitchell?"", ""score"": 1, ""ncomments"": 58}, {""title"": ""[Devin Booker] I miss open gyms without the camera. Or just highlight whoever killed the run Can't be EVERYbody"", ""score"": 1, ""ncomments"": 371}, {""title"": ""CJ Miles\u2019 wife Lauren on Twitter: \u201cI just wanna take this time to say Devin Booker was right. double teaming in an open run is whack.\u201d Jordan Clarkson\u2019s reply: \u201cshoot it over both\u201d"", ""score"": 1, ""ncomments"": 252}, {""title"": ""Devin Booker speaks out after testing positive for COVID-19: \u2018I\u2019m not gonna tell you guys if I have the vaccine or not\u2019"", ""score"": 1, ""ncomments"": 2}, {""title"": ""Suns Beat Reporter Kellan Olson States that Devin Booker Declined to Say if He is Vaccinated"", ""score"": 1, ""ncomments"": 510}, {""title"": ""Devin Booker confirmed on a Twitch stream Sunday that he tested positive for COVID-19"", ""score"": 1, ""ncomments"": 0}, {""title"": ""[Kellan Olson] Devin Booker on his Twitch stream (http://twitch.tv/dbook) confirms he has COVID-19. Said it has been about a week and he'll be back in no time. He said he's straight right now and the worst part is no taste and smell. He did not want to say if he has been vaccinated or not."", ""score"": 1, ""ncomments"": 0}, {""title"": ""Devin Booker talking about his Symptoms on his live stream"", ""score"": 1, ""ncomments"": 0}, {""title"": ""[Kellan Olson] Devin Booker on his Twitch stream (http://twitch.tv/dbook) confirms he has COVID-19. Said it has been about a week and he'll be back in no time. He said he's straight right now and the worst part is no taste and smell. He did not want to say if he has been vaccinated or not."", ""score"": 1, ""ncomments"": 0}, {""title"": ""[Olson] Devin Booker is back with the Suns in training camp, per my eyes"", ""score"": 1, ""ncomments"": 2}, {""title"": ""[Olson] Devin Booker is back with the Suns in training camp, per my eyes"", ""score"": 1, ""ncomments"": 25}, {""title"": ""Who\u2019s currently better, Donovan Mitchell Or Devin Booker?"", ""score"": 1, ""ncomments"": 105}, {""title"": ""Who\u2019s currently better, Donovan Mitchell or Devin Booker?"", ""score"": 1, ""ncomments"": 2}, {""title"": ""Who\u2019s currently better better Devin Booker or Donovan Mitchell?"", ""score"": 1, ""ncomments"": 0}, {""title"": ""Who is the new Devin Booker?"", ""score"": 1, ""ncomments"": 95}]"
4,Luka Doncic,2021,"[{""title"": ""According to Tim MacMahon on The Lowe Post, Luka Doncic reported at in at 260+ lbs this season"", ""score"": 2845, ""ncomments"": 1730}, {""title"": ""[Austin Krell] Luka Doncic is among the players to have expressed interest in playing with Ben Simmons, per source. That interest extends all the way back to the summer."", ""score"": 1601, ""ncomments"": 936}, {""title"": ""[Highlight] Luka Doncic ends the half with a stepback off-the-class buzzer-beater 3"", ""score"": 662, ""ncomments"": 110}, {""title"": ""Luka Doncic acknowledged that his conditioning has got to be better \""I had a long summer. I had the Olympics, took three weeks off, and I relaxed a little bit. Maybe too much. I've just got to get back on track.\"""", ""score"": 642, ""ncomments"": 302}, {""title"": ""Agree or disagree: Luka Doncic has not improved much if at all since his sophomore season"", ""score"": 259, ""ncomments"": 283}, {""title"": ""Luka Doncic has reported to training camp weighing more than 260 pounds the last two years. \""I know I've got to do better,\"" Doncic said about his conditioning."", ""score"": 202, ""ncomments"": 130}, {""title"": ""[Caplan] We could see Luka Doncic grimacing and walking gingerly on his left ankle/knee at several points tonight: \u201cI try to play. I try to practice. But it\u2019s still painful.\u201d"", ""score"": 99, ""ncomments"": 97}, {""title"": ""Luka Doncic tonight: 28 points, 6 rebounds, and 9 assists with only 1 turnover"", ""score"": 86, ""ncomments"": 179}, {""title"": ""Luka Doncic just recorded a triple double in 23 minutes of play"", ""score"": 84, ""ncomments"": 22}, {""title"": ""Luka Doncic in 16 minutes: 19 points, 6 rebounds, 5 assists on 8/10 shooting"", ""score"": 34, ""ncomments"": 155}, {""title"": ""[Stein] Luka Doncic will be a game-time decision for the Mavs's game tonight"", ""score"": 31, ""ncomments"": 48}, {""title"": ""WME Sports Signs NBA All -Star Luka Doncic"", ""score"": 20, ""ncomments"": 53}, {""title"": ""[MacMahon] Sources: Luka Doncic has reported to training camp weighing more than 260 pounds the last two years. \""I know I've got to do better,\"" Doncic said about his conditioning. 3"", ""score"": 16, ""ncomments"": 40}, {""title"": ""[Boardroom] \u201cThe NBA stars of tomorrow are here today.\u201d Trae Young and Luka Doncic on the cover of the latest @SInow."", ""score"": 15, ""ncomments"": 47}, {""title"": ""Luka Doncic cooks the Pistons: 33/7/11/1/2 on 9-18 FG, 5-9 3PT"", ""score"": 10, ""ncomments"": 4}, {""title"": ""Who is the better player: Luka Doncic vs Damian Lillard?"", ""score"": 6, ""ncomments"": 269}, {""title"": ""[Wojnarowski] Ayton, a key part of the Suns\u2019 run to the 2021 NBA Finals, has no intention of accepting a deal less than the comparable max contracts that several of his 2018 NBA Draft classmates signed, including Trae Young, Luka Doncic, Shai Gilgeous-Alexander and Michael Porter Jr."", ""score"": 5, ""ncomments"": 8}, {""title"": ""[Callie Caplan]: \""Jason Kidd just won the challenge to overturn the shooting foul on Kristaps Porizngis. Luka Doncic raised his arms, held both thumbs up and shouted \""Yes, sirrrrrr!\"" Then KP almost broke the rim on a dunk. You can sense the Mavs are very, very eager to close out a win\"""", ""score"": 4, ""ncomments"": 12}, {""title"": ""Luka Doncic when asked point blank about his vaccination status \u201cI mean, yeah, but I want to keep it private,\u201d."", ""score"": 2, ""ncomments"": 603}, {""title"": ""[Townsend]Mavericks media notes ahead of tomorrow's game against the Suns list Luka Doncic as doubtful and Maxi Kleber as out."", ""score"": 2, ""ncomments"": 38}, {""title"": ""Luka Doncic tonight vs. the Warriors : 41 pts / 10 rebs / 9 asts / 2 stls"", ""score"": 2, ""ncomments"": 0}, {""title"": ""Luka Doncic dismounts the Cavaliers: 35/9/13, 1 steal, 2 blocks, 14-26 FG."", ""score"": 2, ""ncomments"": 0}, {""title"": ""[Wojnarowski] Ayton, a key part of the Suns\u2019 run to the 2021 NBA Finals, has no intention of accepting a deal less than the comparable max contracts that several of his 2018 NBA Draft classmates signed, including Trae Young, Luka Doncic, Shai Gilgeous-Alexander and Michael Porter Jr."", ""score"": 2, ""ncomments"": 0}, {""title"": ""Josh Giddey joins Luka Doncic as the only players to record 4 triple doubles as teenagers."", ""score"": 2, ""ncomments"": 42}]"
5,Jayson Tatum,2021,"[{""title"": ""[Highlight] Jayson Tatum cooks Lonzo Ball"", ""score"": 280, ""ncomments"": 211}, {""title"": ""[Highlight] Jayson Tatum rises up and punches it through Russell Westbrook"", ""score"": 247, ""ncomments"": 92}, {""title"": ""[Smith] Marcus Smart quietly said he wants to be more involved in the offense. Then he added that Jaylen Brown and Jayson Tatum need to move the ball move, so that they aren't taking such difficult shots. On a follow-up Smart said \""I'm a great passer. I know I can get guys good shots.\"""", ""score"": 100, ""ncomments"": 288}, {""title"": ""Kevin Durant, who was ejected for a foul on Kelly Olynyk last night, performed a similar forearm shove to Jayson Tatum in last year's playoff series between the Nets and Celtics."", ""score"": 37, ""ncomments"": 58}, {""title"": ""Windhorst: Jayson Tatum in the past has said that he is vaccinated on the record. When asked whether all their team would be available under the current rules in Toronto, the Celtics offered a \""No comment.\"""", ""score"": 26, ""ncomments"": 46}, {""title"": ""Who's the better player rn, Jayson Tatum or Trae Young?"", ""score"": 21, ""ncomments"": 309}, {""title"": ""[Highlight] Jayson Tatum 4th quarter highlights vs Bulls"", ""score"": 18, ""ncomments"": 23}, {""title"": ""[Post Game Thread] The Boston Celtics (38-27) defeat the Memphis Grizzlies (43-21) 120 - 107 behind 37pts from Jayson Tatum"", ""score"": 3, ""ncomments"": 0}, {""title"": ""Jayson Tatum and Jaylen Brown combined for 71 points tonight on 26-48 shooting and 9-19 from 3"", ""score"": 3, ""ncomments"": 106}, {""title"": ""[Jayson Tatum] L\u0585l everyone always has an opinion on what you're doing/should be doing\u2026 positive comments or negative ones\u2026 I ask myself all the time would 13 year old me be proud of who I am today\u2026 sometimes puts things in perspective of what really matters"", ""score"": 2, ""ncomments"": 106}, {""title"": ""[Highlight] Jayson Tatum sheds Lonzo Ball with the handle and throws down the dunk"", ""score"": 2, ""ncomments"": 3}, {""title"": ""[Murphy] Jayson Tatum and Jaylen Brown decline to talk after tonight's collapse."", ""score"": 2, ""ncomments"": 12}, {""title"": ""[Highlight] Robert \""Timelord\"" Williams III skies out of nowhere for the putback jam following the Jayson Tatum miss"", ""score"": 2, ""ncomments"": 1}, {""title"": ""[Highlight] Jayson Tatum accelerates down the lane for the man jam, then Derrick White lobs it up to Theis for some jam action as well"", ""score"": 2, ""ncomments"": 1}, {""title"": ""Does Siakam have a legitimate All Star case over any of Jarret Allen, Jimmy Butler, or Jayson Tatum?"", ""score"": 2, ""ncomments"": 0}, {""title"": ""[Snow] NBA plus/minus leaders over the past 7 weeks: 1. Jayson Tatum: +304 2. Marcus Smart: +249 3. Al Horford: +242 4. Rob Williams: +208 5. Jaylen Brown: +194 No one else in the league is within 25 of Jaylen"", ""score"": 2, ""ncomments"": 0}, {""title"": ""[Jayson Tatum] My own opinion\u2026 this my favorite drake project ever."", ""score"": 1, ""ncomments"": 3}, {""title"": ""Jayson Tatum tries to boom Bam Adebayo"", ""score"": 1, ""ncomments"": 23}, {""title"": ""[Grenham] Jayson Tatum confirms that he is vaccinated when discussing his stance on the topic"", ""score"": 1, ""ncomments"": 40}, {""title"": ""Celtics star Jaylen Brown refutes rumors he and Jayson Tatum might not get along"", ""score"": 1, ""ncomments"": 60}, {""title"": ""Better Hairline, Jayson Tatum or Lonzo Ball"", ""score"": 1, ""ncomments"": 47}, {""title"": ""[Keith Smith] The Celtics will start Jayson Tatum, Jaylen Brown, Marcus Smart, Robert Williams and...Juancho Hernangomez."", ""score"": 1, ""ncomments"": 92}, {""title"": ""Jayson Tatum in 2019: \""I\u2019d Trade Me Too For Anthony Davis\"""", ""score"": 1, ""ncomments"": 85}, {""title"": ""Jayson Tatum tonight: 7/30 FG, 2/15 from three, 20 points"", ""score"": 1, ""ncomments"": 404}, {""title"": ""Jayson Tatum tonight: 31/9/2 shooting 12/24 from the field, and the W!"", ""score"": 1, ""ncomments"": 20}]"
