"","X","Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","season","player_id","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs","predator_offense","predator_defense","predator_total","pace_impact"
"176",178,"10T","Blake Griffin",21,"LAC",0,5,1210,0.004,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,2011,"griffbl01",6086,3112,1.684324409,0.411364967,2.095689376,7.661477392,7.661477392,0,1.641411443,0.69227674,2.333688183,-0.39039318
"177",179,"10T","Rajon Rondo",24,"BOS",0,5,1210,0.004,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,2011,"rondora01",5462,2872,1.928382655,1.880777919,3.809160575,9.561271133,8.785548359,0.775722774,1.965620973,2.03695444,4.002575414,-0.657251439
"178",180,"12","Tony Parker",28,"SAS",0,3,1210,0.002,78,32.4,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,8.2,0.156,2011,"parketo01",5340,2749,1.92811357,0.321364919,2.249478489,6.97391753,6.740982106,0.232935424,1.978517964,0.402481975,2.380999939,-0.511285662
"179",181,"13","Chris Paul",25,"NOH",0,2,1210,0.002,80,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232,2011,"paulch01",5832,3130,6.665403171,2.383542793,9.048945964,18.82118457,17.09198892,1.729195656,6.315340884,3.117851109,9.433191993,-0.391306995
"180",182,"1","LeBron James",27,"MIA",85,1074,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,2012,"jamesle01",6293,3309,7.897845729,2.09039534,9.988241069,21.64944658,14.64251251,7.006934064,7.896980707,1.868152192,9.7651329,-0.364794159
"181",183,"2","Kevin Durant",23,"OKC",24,889,1210,0.735,66,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23,2012,"duranke01",6588,3383,5.218257159,0.134707641,5.3529648,14.10970636,9.951093401,4.158612959,5.629979481,0.13316777,5.763147251,-0.113089413
"182",184,"3","Chris Paul",26,"LAC",6,385,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,2012,"paulch01",4892,2604,7.315335464,1.771082973,9.086418437,15.7497336,14.16328005,1.586453547,7.245040243,2.520363865,9.765404108,-0.088956975
"183",185,"4","Kobe Bryant",33,"LAL",2,352,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132,2012,"bryanko01",5152,2708,3.318463652,-0.714734166,2.603729486,7.45844328,5.696979211,1.761464069,3.794936938,-0.387644305,3.407292633,0.015941461
"184",186,"5","Tony Parker",29,"SAS",4,331,1210,0.274,60,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,7.1,0.177,2012,"parketo01",4750,2429,3.854630474,1.241912013,5.096542488,9.705525504,7.850905504,1.85462,3.889174519,1.061178159,4.950352678,-0.695249398
"185",187,"6","Kevin Love",23,"MIN",0,58,1210,0.048,55,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,10,0.223,2012,"loveke01",4217,2145,5.148193527,-0.121748892,5.026444636,8.473368843,8.473368843,0,5.297640155,0.579650198,5.877290353,-0.401603665
