"","rank","season","player","age","team","fpv","mvppts","ptsmax","share","games","mpg","ppg","rbpg","astpg","stlpg","blkpg","fgp","threepp","ftp","player_id","poss","tmp","rap_o","rap_d","rap_tot","war_tot","war_reg","war_play","pred_o","pred_d","pred_tot","pace_impact","nposts","avg_upvotes","avg_comments","comp","pos","neu","neg"
"149","3",2021,"Stephen Curry",32,"GSW",5,453,1010,0.449,63,34.2,32,5.5,5.8,1.2,0.1,0.482,0.421,0.916,"curryst01",4715,2152,8.7387010240524,-1.93904989884528,6.79965112520712,10.7605746394512,10.7605746394512,0,8.08715188772832,-1.65642215134479,6.43072973638353,2.653506878324,25,414,503,0,0,1,0
"150","4",2021,"Giannis Antetokounmpo",26,"MIL",1,348,1010,0.345,61,33,28.1,11,5.9,1.2,1.2,0.569,0.303,0.685,"antetgi01",6002,2813,4.24637430332853,2.34187392072381,6.58824822405234,13.6667962151266,9.71868942592508,3.94810678920153,4.1398312659395,2.41525696856883,6.55508823450834,1.09606099525632,25,3626,491,0.361,0.06,0.94,0
"151","5",2021,"Chris Paul",35,"PHO",2,139,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,"paulch01",5905,2882,4.48202463788765,-1.33818250743958,3.14384213044807,8.69194001236151,6.60754247884867,2.08439753351284,4.0704921558141,-0.790011972679185,3.28048018313491,-0.426290196863784,25,1247,254,0.296,0.059,0.941,0
"152","7",2021,"Damian Lillard",30,"POR",0,38,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,"lillada01",5514,2646,8.29766995853728,-2.21405666391964,6.08361329461764,12.3067355308539,9.04474562643664,3.26198990441723,8.42917109035939,-2.57311836265549,5.85605272770389,1.47937512581527,25,1467,808,0.226,0.101,0.899,0
"153","8",2021,"Julius Randle",26,"NYK",0,20,1010,0.02,71,37.6,24.1,10.2,6,0.9,0.3,0.456,0.411,0.811,"randlju01",5758,2847,0.43805243029402,2.08801395869399,2.52606638898801,7.65013758596442,8.01666646671191,-0.366528880747491,0.12289062254762,2.15274642025401,2.27563704280163,0.160544931989928,25,641,462,0.34,0.146,0.854,0
"154","9",2021,"Derrick Rose",32,"TOT",1,10,1010,0.01,50,25.6,14.7,2.6,4.2,1,0.4,0.47,0.388,0.866,"rosede01",2971,1454,1.80568209141403,1.47857533110316,3.28425742251718,4.45692120844673,4.41573196884328,0.0411892396034439,0.702855254857156,0.725136591089395,1.42799184594655,-0.843084067605054,25,2,1,0.34,0.286,0.714,0
"155","10",2021,"Rudy Gobert",28,"UTA",0,8,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0,0.623,"goberru01",5381,2563,-0.120712164718414,7.90743912259994,7.78672695788152,13.8377454568371,12.3635312420557,1.47421421478139,0.172996917991053,7.45924616999321,7.63224308798426,0.26809264365753,25,690,342,-0.459,0.034,0.87,0.096
"156","11",2021,"Russell Westbrook",32,"WAS",0,5,1010,0.005,65,36.4,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.656,"westbru01",5695,2555,0.250929406226752,-2.23678223709906,-1.98585283087231,1.00540030671965,1.36122711182667,-0.355826805107012,0.974923515502488,-1.69976045900725,-0.724836943504763,2.48212240156727,25,1886,466,0,0,1,0
"157","12",2021,"Ben Simmons",24,"PHI",0,3,1010,0.003,58,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,"simmobe01",4828,2279,0.694046220725133,1.84349298884918,2.53753920957431,6.24336561402421,4.74827625362501,1.49508936039921,0.316666460845123,2.29851325624263,2.61517971708775,0.871617138288162,25,2785,1130,0,0,1,0
"158","13T",2021,"James Harden",31,"TOT",0,1,1010,0.001,44,36.6,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,"hardeja01",3977,1931,7.18704672861424,-1.55280498376511,5.63424174484913,8.32633883619426,6.23268505231111,2.09365378388315,6.72867000171436,-1.45708278479894,5.27158721691542,-0.285652189839793,25,1497,418,0.421,0.089,0.911,0
"159","13T",2021,"LeBron James",36,"LAL",0,1,1010,0.001,45,33.4,25,7.7,7.8,1.1,0.6,0.513,0.365,0.698,"jamesle01",3586,1728,5.87870769875962,0.638155440880721,6.51686313964034,8.28516819964366,6.42391162507098,1.86125657457268,5.0382679207615,0.602557841807885,5.64082576256938,0.192680682671013,25,2491,1154,0,0,1,0
"160","13T",2021,"Kawhi Leonard",29,"LAC",0,1,1010,0.001,52,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,"leonaka01",4453,2205,6.33426903688395,1.47773154234732,7.81200057923126,11.8839318238362,9.59676743374941,2.28716439008679,6.06332126795823,2.01318108258297,8.0765023505412,-0.541231649287438,25,63,70,-0.765,0,0.568,0.432
