"","Rank","Player","Age","Tm","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","season"
"1","1","Shaquille O'Neal","27","LAL","120.0","1207.0","1210","0.998","79","40.0","29.7","13.6","3.8","0.5","3.0",".574",".000",".524","18.6",".283",2000
"2","2","Kevin Garnett","23","MIN","0.0","408.0","1210","0.337","81","40.0","22.9","11.8","5.0","1.5","1.6",".497",".370",".765","11.6",".172",2000
"3","3","Alonzo Mourning","29","MIA","0.0","367.0","1210","0.303","79","34.8","21.7","9.5","1.6","0.5","3.7",".551",".000",".711","12.9",".226",2000
"4","4","Karl Malone","36","UTA","0.0","312.0","1210","0.258","82","35.9","25.5","9.5","3.7","1.0","0.9",".509",".250",".797","15.3",".249",2000
"5","5","Tim Duncan","23","SAS","0.0","248.0","1210","0.205","74","38.9","23.2","12.4","3.2","0.9","2.2",".490",".091",".761","13.0",".218",2000
"6","6","Gary Payton","31","SEA","0.0","180.0","1210","0.149","82","41.8","24.2","6.5","8.9","1.9","0.2",".448",".340",".735","13.9",".195",2000
"7","7","Allen Iverson","24","PHI","1.0","132.0","1210","0.109","70","40.8","28.4","3.8","4.7","2.1","0.1",".421",".341",".713","6.9",".116",2000
"8","8","Grant Hill","27","DET","0.0","113.0","1210","0.093","74","37.5","25.8","6.6","5.2","1.4","0.6",".489",".347",".795","10.7",".185",2000
"9","9","Chris Webber","26","SAC","0.0","96.0","1210","0.079","75","38.4","24.5","10.5","4.6","1.6","1.7",".483",".284",".751","10.7",".179",2000
"10","10","Vince Carter","23","TOR","0.0","51.0","1210","0.042","82","38.1","25.7","5.8","3.9","1.3","1.1",".465",".403",".791","11.8",".182",2000
"11","11","Jason Kidd","26","PHO","0.0","25.0","1210","0.021","67","39.0","14.3","7.2","10.1","2.0","0.4",".409",".337",".829","8.5",".156",2000
"12","12","Kobe Bryant","21","LAL","0.0","3.0","1210","0.002","66","38.2","22.5","6.3","4.9","1.6","0.9",".468",".319",".821","10.6",".202",2000
"13","13T","Darrell Armstrong","31","ORL","0.0","1.0","1210","0.001","82","31.6","16.2","3.3","6.1","2.1","0.1",".433",".340",".911","8.0",".149",2000
